Time,Row Labels,Trips
12,106,1130
12,107,1176
12,108,689
12,109,273
12,110,463
12,111,523
12,112,679
12,113,747
12,114,602
12,115,236
12,116,790
12,117,968
12,118,223
12,119,97
12,12,13
12,120,444
12,121,452
12,122,494
12,123,579
12,124,698
12,125,1353
12,126,1112
12,127,498
12,128,299
12,129,164
12,13,9
12,130,763
12,132,531
12,133,345
12,134,877
12,135,2295
12,136,1785
12,137,933
12,138,769
12,139,347
12,14,6
12,140,766
12,141,633
12,142,204
12,143,1171
12,144,1823
12,145,1366
12,146,692
12,147,259
12,148,73
12,149,16
12,15,25
12,150,69
12,151,621
12,152,1113
12,153,1026
12,154,1386
12,155,1557
12,156,1471
12,157,460
12,158,274
12,159,16
12,16,55
12,160,3
12,161,623
12,162,1281
12,163,1440
12,164,673
12,165,67
12,166,688
12,167,426
12,168,496
12,169,200
12,170,736
12,171,57
12,172,614
12,173,616
12,174,1567
12,175,25
12,176,29
12,177,378
12,178,1011
12,179,350
12,180,466
12,182,554
12,183,469
12,184,620
12,185,123
12,186,155
12,187,205
12,188,344
12,189,299
12,190,1049
12,193,408
12,194,524
12,195,471
12,196,190
12,197,586
12,198,149
12,199,640
12,2,213
12,200,589
12,204,883
12,205,403
12,206,229
12,207,327
12,208,120
12,209,244
12,210,632
12,215,545
12,216,491
12,217,856
12,218,214
12,219,133
12,22,10
12,220,217
12,225,916
12,226,1083
12,227,626
12,228,22
12,229,87
12,23,0
12,230,600
12,236,214
12,237,343
12,238,30
12,239,5
12,24,43
12,240,354
12,246,769
12,247,2162
12,248,133
12,249,131
12,25,81
12,250,5680
12,26,171
12,3,17
12,32,299
12,33,6
12,34,7
12,35,60
12,36,122
12,37,67
12,38,317
12,4,20
12,42,121
12,43,202
12,44,119
12,45,275
12,46,998
12,47,172
12,48,8163
12,5,334
12,52,288
12,53,225
12,54,587
12,55,200
12,56,350
12,57,396
12,58,1040
12,59,1840
12,6,2428
12,62,79
12,63,416
12,64,445
12,65,982
12,66,908
12,67,830
12,68,1131
12,72,104
12,73,457
12,74,213
12,75,208
12,76,620
12,77,366
12,78,623
12,79,550
12,80,4631
12,81,87
12,82,343
12,83,423
12,84,34
12,85,127
12,86,127
12,87,644
12,88,384
12,89,122
12,90,435
12,92,449
12,93,400
12,94,478
12,95,101
12,96,372
12,97,688
12,98,618
12,99,150
13,1,1716
13,100,432
13,101,526
13,102,648
13,103,1421
13,104,552
13,105,408
13,106,1249
13,107,1299
13,108,789
13,109,275
13,110,581
13,111,625
13,112,676
13,113,833
13,114,623
13,115,261
13,116,829
13,117,1027
13,118,254
13,119,110
13,12,15
13,120,401
13,121,484
13,122,587
13,123,607
13,124,746
13,125,1466
13,126,1269
13,127,507
13,128,306
13,129,229
13,13,14
13,130,788
13,132,519
13,133,349
13,134,938
13,135,2376
13,136,1954
13,137,942
13,138,768
13,139,388
13,14,8
13,140,885
13,141,648
13,142,220
13,143,1235
13,144,1935
13,145,1338
13,146,738
13,147,299
13,148,90
13,149,15
13,15,30
13,150,88
13,151,690
13,152,1239
13,153,1087
13,154,1325
13,155,1714
13,156,1685
13,157,502
13,158,351
13,159,16
13,16,59
13,160,4
13,161,632
13,162,1348
13,163,1427
13,164,788
13,165,80
13,166,788
13,167,521
13,168,498
13,169,189
13,170,781
13,171,86
13,172,676
13,173,634
13,174,1672
13,175,32
13,176,65
13,177,398
13,178,1087
13,179,405
13,180,495
13,182,578
13,183,496
13,184,650
13,185,126
13,186,169
13,187,263
13,188,360
13,189,295
13,190,1224
13,193,406
13,194,511
13,195,506
13,196,195
13,197,531
13,198,143
13,199,676
13,2,187
13,200,706
13,204,855
13,205,472
13,206,236
13,207,357
13,208,114
13,209,275
13,210,667
13,215,550
13,216,490
13,217,908
13,218,197
13,219,111
13,22,9
13,220,193
13,225,954
13,226,1166
13,227,604
13,228,15
13,229,103
13,23,1
13,230,688
13,236,226
13,237,346
13,238,25
13,239,8
13,24,32
13,240,411
13,246,746
13,247,2281
13,248,167
13,249,173
13,25,77
13,250,6011
13,26,169
13,3,9
13,32,350
13,33,10
13,34,7
13,35,34
13,36,180
13,37,82
13,38,301
13,4,20
13,42,124
13,43,212
13,44,140
13,45,283
13,46,987
13,47,190
13,48,8023
13,5,309
13,52,269
